Country|Population|Yearly_Change|Net Change|Density|Land Area (Km²)|Migrants (net)|World_Share|Rank
China|1439323776|0.39|5,540,090|153|9,388,211|-348,399|18.47|1
India|1380004385|0.99|13,586,631|464|2,973,190|-532,687|17.7|2
United States|331002651|0.59|1,937,734|36|9,147,420|954,806|4.25|3
Indonesia|273523615|1.07|2,898,047|151|1,811,570|-98,955|3.51|4
Pakistan|220892340|2.0|4,327,022|287|770,880|-233,379|2.83|5
Brazil|212559417|0.72|1,509,890|25|8,358,140|21,200|2.73|6
Nigeria|206139589|2.58|5,175,990|226|910,770|-60,000|2.64|7
Bangladesh|164689383|1.01|1,643,222|1265|130,170|-369,501|2.11|8
Russia|145934462|0.04|62,206|9|16,376,870|182,456|1.87|9
Mexico|128932753|1.06|1,357,224|66|1,943,950|-60,000|1.65|10
Japan|126476461|-0.3|-383,840|347|364,555|71,560|1.62|11
Ethiopia|114963588|2.57|2,884,858|115|1,000,000|30,000|1.47|12
Philippines|109581078|1.35|1,464,463|368|298,170|-67,152|1.41|13
Egypt|102334404|1.94|1,946,331|103|995,450|-38,033|1.31|14
Vietnam|97338579|0.91|876,473|314|310,070|-80,000|1.25|15
DR Congo|89561403|3.19|2,770,836|40|2,267,050|23,861|1.15|16
Turkey|84339067|1.09|909,452|110|769,630|283,922|1.08|17
Iran|83992949|1.3|1,079,043|52|1,628,550|-55,000|1.08|18
Germany|83783942|0.32|266,897|240|348,560|543,822|1.07|19
Thailand|69799978|0.25|174,396|137|510,890|19,444|0.9|20
United Kingdom|67886011|0.53|355,839|281|241,930|260,650|0.87|21
France|65273511|0.22|143,783|119|547,557|36,527|0.84|22
Italy|60461826|-0.15|-88,249|206|294,140|148,943|0.78|23
Tanzania|59734218|2.98|1,728,755|67|885,800|-40,076|0.77|24
South Africa|59308690|1.28|750,420|49|1,213,090|145,405|0.76|25
Myanmar|54409800|0.67|364,380|83|653,290|-163,313|0.7|26
Kenya|53771296|2.28|1,197,323|94|569,140|-10,000|0.69|27
South Korea|51269185|0.09|43,877|527|97,230|11,731|0.66|28
Colombia|50882891|1.08|543,448|46|1,109,500|204,796|0.65|29
Spain|46754778|0.04|18,002|94|498,800|40,000|0.6|30
Uganda|45741007|3.32|1,471,413|229|199,810|168,694|0.59|31
Argentina|45195774|0.93|415,097|17|2,736,690|4,800|0.58|32
Algeria|43851044|1.85|797,990|18|2,381,740|-10,000|0.56|33
Sudan|43849260|2.42|1,036,022|25|1,765,048|-50,000|0.56|34
Ukraine|43733762|-0.59|-259,876|75|579,320|10,000|0.56|35
Iraq|40222493|2.32|912,710|93|434,320|7,834|0.52|36
Afghanistan|38928346|2.33|886,592|60|652,860|-62,920|0.5|37
Poland|37846611|-0.11|-41,157|124|306,230|-29,395|0.49|38
Canada|37742154|0.89|331,107|4|9,093,510|242,032|0.48|39
Morocco|36910560|1.2|438,791|83|446,300|-51,419|0.47|40
Saudi Arabia|34813871|1.59|545,343|16|2,149,690|134,979|0.45|41
Uzbekistan|33469203|1.48|487,487|79|425,400|-8,863|0.43|42
Peru|32971854|1.42|461,401|26|1,280,000|99,069|0.42|43
Angola|32866272|3.27|1,040,977|26|1,246,700|6,413|0.42|44
Malaysia|32365999|1.3|416,222|99|328,550|50,000|0.42|45
Mozambique|31255435|2.93|889,399|40|786,380|-5,000|0.4|46
Ghana|31072940|2.15|655,084|137|227,540|-10,000|0.4|47
Yemen|29825964|2.28|664,042|56|527,970|-30,000|0.38|48
Nepal|29136808|1.85|528,098|203|143,350|41,710|0.37|49
Venezuela|28435940|-0.28|-79,889|32|882,050|-653,249|0.36|50
Madagascar|27691018|2.68|721,711|48|581,795|-1,500|0.36|51
Cameroon|26545863|2.59|669,483|56|472,710|-4,800|0.34|52
Côte d'Ivoire|26378274|2.57|661,730|83|318,000|-8,000|0.34|53
North Korea|25778816|0.44|112,655|214|120,410|-5,403|0.33|54
Australia|25499884|1.18|296,686|3|7,682,300|158,246|0.33|55
Niger|24206644|3.84|895,929|19|1,266,700|4,000|0.31|56
Taiwan|23816775|0.18|42,899|673|35,410|30,001|0.31|57
Sri Lanka|21413249|0.42|89,516|341|62,710|-97,986|0.27|58
Burkina Faso|20903273|2.86|581,895|76|273,600|-25,000|0.27|59
Mali|20250833|3.02|592,802|17|1,220,190|-40,000|0.26|60
Romania|19237691|-0.66|-126,866|84|230,170|-73,999|0.25|61
Malawi|19129952|2.69|501,205|203|94,280|-16,053|0.25|62
Chile|19116201|0.87|164,163|26|743,532|111,708|0.25|63
Kazakhstan|18776707|1.21|225,280|7|2,699,700|-18,000|0.24|64
Zambia|18383955|2.93|522,925|25|743,390|-8,000|0.24|65
Guatemala|17915568|1.9|334,096|167|107,160|-9,215|0.23|66
Ecuador|17643054|1.55|269,392|71|248,360|36,400|0.23|67
Syria|17500658|2.52|430,523|95|183,630|-427,391|0.22|68
Netherlands|17134872|0.22|37,742|508|33,720|16,000|0.22|69
Senegal|16743927|2.75|447,563|87|192,530|-20,000|0.21|70
Cambodia|16718965|1.41|232,423|95|176,520|-30,000|0.21|71
Chad|16425864|3.0|478,988|13|1,259,200|2,000|0.21|72
Somalia|15893222|2.92|450,317|25|627,340|-40,000|0.2|73
Zimbabwe|14862924|1.48|217,456|38|386,850|-116,858|0.19|74
Guinea|13132795|2.83|361,549|53|245,720|-4,000|0.17|75
Rwanda|12952218|2.58|325,268|525|24,670|-9,000|0.17|76
Benin|12123200|2.73|322,049|108|112,760|-2,000|0.16|77
Burundi|11890784|3.12|360,204|463|25,680|2,001|0.15|78
Tunisia|11818619|1.06|123,900|76|155,360|-4,000|0.15|79
Bolivia|11673021|1.39|159,921|11|1,083,300|-9,504|0.15|80
Belgium|11589623|0.44|50,295|383|30,280|48,000|0.15|81
Haiti|11402528|1.24|139,451|414|27,560|-35,000|0.15|82
Cuba|11326616|-0.06|-6,867|106|106,440|-14,400|0.15|83
South Sudan|11193725|1.19|131,612|18|610,952|-174,200|0.14|84
Dominican Republic|10847910|1.01|108,952|225|48,320|-30,000|0.14|85
Czech Republic (Czechia)|10708981|0.18|19,772|139|77,240|22,011|0.14|86
Greece|10423054|-0.48|-50,401|81|128,900|-16,000|0.13|87
Jordan|10203134|1.0|101,440|115|88,780|10,220|0.13|88
